name,sort_name,family_name,given_name,gender,term,area,id
LAUFILITOGA Mireille,LAUFILITOGA Mireille,LAUFILITOGA,Mireille,female,2012,MUA,LAUFILITOGA Mireille
FELEU Yannick,FELEU Yannick,FELEU,Yannick,female,2012,MUA,FELEU Yannick
MULIAKAAKA Munipoese,MULIAKAAKA Munipoese,MULIAKAAKA,Munipoese,male,2012,MUA,MULIAKAAKA Munipoese
TAUFANA Bernard,TAUFANA Bernard,TAUFANA,Bernard,male,2012,MUA,TAUFANA Bernard
SELUI Emile,SELUI Emile,SELUI,Emile,male,2012,MUA,SELUI Emile
IKAI Eselone,IKAI Eselone,IKAI,Eselone,male,2012,MUA,IKAI Eselone
VERGE David,VERGE David,VERGE,David,male,2012,HAHAKE,VERGE David
KULIMOETOKE Mikaele,KULIMOETOKE Mikaele,KULIMOETOKE,Mikaele,male,2012,HAHAKE,KULIMOETOKE Mikaele
KANIMOA Patalione,KANIMOA Patalione,KANIMOA,Patalione,male,2012,HAHAKE,KANIMOA Patalione
HANISI Petelo,HANISI Petelo,HANISI,Petelo,male,2012,HAHAKE,HANISI Petelo
SUVE Sosefo,SUVE Sosefo,SUVE,Sosefo,male,2012,HIHIFO,SUVE Sosefo
ILOAI Nivaleta,ILOAI Nivaleta,ILOAI,Nivaleta,female,2012,HIHIFO,ILOAI Nivaleta
KOLOKILAGI Atoloto,KOLOKILAGI Atoloto,KOLOKILAGI,Atoloto,male,2012,HIHIFO,KOLOKILAGI Atoloto
FALELAVAKI Petelo,FALELAVAKI Petelo,FALELAVAKI,Petelo,male,2012,SIGAVE,FALELAVAKI Petelo
VEA Savelina,VEA Savelina,VEA,Savelina,female,2012,SIGAVE,VEA Savelina
NIUTOUA Pasikale « MOETOTO »,NIUTOUA Pasikale « MOETOTO »,NIUTOUA,Pasikale « MOETOTO »,male,2012,SIGAVE,NIUTOUA Pasikale « MOETOTO »
NAU Vetelino,NAU Vetelino,NAU,Vetelino,male,2012,ALO,NAU Vetelino
MOTUKU Sosefo,MOTUKU Sosefo,MOTUKU,Sosefo,male,2012,ALO,MOTUKU Sosefo
SAVEA Toma Akino,SAVEA Toma Akino,SAVEA,Toma Akino,male,2012,ALO,SAVEA Toma Akino
BAUDRY Frédéric,BAUDRY Frédéric,BAUDRY,Frédéric,male,2012,ALO,BAUDRY Frédéric
